Name,Latitude,Longitude
Abbottabad,34.14365889960668,73.2139122
Arifwala,30.294450399714275,73.0589418
Attock,33.76953229959527,72.3610911
Badin,24.655167100286207,68.84015089999998
Bahawalnagar,29.993592199740327,73.25276209999998
Bahawalpur,29.394643999797093,71.6638747
Bangla Gogera,30.95077644685647,73.32822752518011
Bannu,32.9857006995877,70.60360169999998
Batkhela,34.61254756413542,71.96459309828325
Bhakkar,31.63031029962459,71.06769139999999
Bhalwal,32.27107429959961,72.89656399999998
Blue World City Islamabad,33.36668229311497,72.85919346522886
Burewala,30.158800499725796,72.6796973
Capital Smart City Islamabad,33.45526525976501,72.87354243245935
Chakwal,32.93282699958799,72.8629763
Chaman,30.915947999666816,66.4631051
Chamla,34.375646770875974,72.50991729579334
Charsadda,34.146150599606784,71.7337719
Chichawatni,30.531690999695098,72.6914049
Chiniot,31.721994199620234,72.9800348
Chishtian,29.79320960158173,72.85597347409647
Chitral,35.85088899972104,71.7901897
Dadu,26.7274836000877,67.7804974
Daharki,28.052157999940427,69.7030649
Daska,32.335396499597834,74.3540308
Daska,32.3315432181473,74.35378660916885
Depalpur,30.66917709968457,73.6513733
Dera Allah Yar,28.377914899904333,68.34398449999999
Dera Ghazi Khan,30.032137399736882,70.6401114
Dera Ismail Khan,31.827526999615532,70.9090919
Dera Murad Jamali,28.541833199886398,68.21927219999999
Dir,35.20801439966644,71.8779773
Faisalabad,31.422055799635416,73.09232529999998
Farooqabad,31.7421402996193,73.8317857
Fort Abbas,29.193517899817408,72.8548724
Ghotki,28.006656599945497,69.31510429999999
Gilgit,35.920810199727754,74.314044
Gojra,31.14823709965154,72.6859082
Gujar Khan,33.25432049958782,73.3065712
Gujranwala,32.152531199603246,74.1933745
Gujrat,32.57902840462296,74.08702567587974
Gujrat,32.56867819959254,74.071481
Gwadar,25.147981600245163,62.3254553
Hafizabad,32.072545999605964,73.68575579999998
Haripur,33.99448889960153,72.93317370000001
Haroonabad,29.610497699775955,73.1388889
Hasilpur,29.688981099768448,72.55254460000002
Hub,25.025542800255803,66.8840285
Hujra Shah Muqeem,30.739382799679365,73.82456310000002
Hyderabad,25.380101700224266,68.3750376
Islamabad,33.69381179959358,73.06515109999998
Jacobabad,28.28130939991499,68.43643609999998
Jahanian,30.042301336452514,71.81561099052199
Jalalpur Jattan,32.6406985252856,74.20923887717969
Jampur,29.64028259977309,70.59514669999999
Jaranwala,31.333018099640434,73.4183387
Jhang,31.272880499643936,72.3103071
Jhelum,32.92472559958804,73.71938799999998
Joharabad,32.286406699599176,72.2878819
Kamalia,30.726988299680272,72.6450218
Kamoke,31.981313999609306,74.2189716
Kandhkot,28.24490179991902,69.18141669999999
Karachi,24.85468420027017,67.0207055
Karak,33.11604639958743,71.0950863
Kasur,31.117514299653482,74.44783139999998
Kawga,34.39217288921443,72.51042696928553
Khairpur,27.52954019999891,68.7634109
Khanewal,30.302252799713635,71.92789159999998
Khanpur,28.647740299874922,70.656008
Khushab,32.29036659959906,72.3515792
Khuzdar,27.800013499968607,66.6166537
Kohat,33.59671439959172,71.4399944
Kot Abdul Malik,31.62340139962492,74.2339616
Kot Addu,30.469260199700024,70.9678776
Kot Diji,27.34183243037645,68.70945157643088
Kotri,25.36353250022579,68.30688959999999
Lahore,31.56568219962781,74.3141829
Larkana,27.5564797999959,68.2101509
Layyah,30.964867999663486,70.9455995
