Name,Latitude,Longitude
5 marla scheme town,30.48480896453351,72.26466814330313
7 marla scheme town,30.482296349306257,72.2619538102368
Aba Khel 2,32.54817291398423,70.79373033137341
Abbas Nagar,31.40218977286443,73.13869884232041
Abbaspur,33.81377799959636,73.9765042
Abdullah Gardens,31.448790985516993,73.1688658535597
Abdullah Gardens,31.36859506324645,73.06343106612046
Abdullah Pur,31.423911070628286,73.10750068579746
Adah,32.4411346995952,74.47944119999998
Adda Chakrala,30.02683748050261,72.24554058737603
Addul Hakeem,30.55075859969362,72.1274866
Adhi Kot,32.104552399604856,71.806705
Adiala,33.45752329958961,72.99559389999999
Adil Pur عادل پور,27.937570299953222,69.3206262
Adina,34.22273509960975,72.2692909
Afrid abad block,30.484244485291043,72.26191388557856
Ahmadabad,31.44716967700299,73.10817158391804
Ahmadabad,32.23096349960079,74.75477839999999
Ahmadpur East,29.143727299822512,71.2625165
Ahmadpur Sial,30.683630099683484,71.7611651
Ahmad Wal,29.395580899796997,65.9405431
Akbar Colony,31.403117125155617,73.12985369336118
Akora Khattak,33.99966599960169,72.1249601
Al-Fayaz Colony,31.392590134765623,73.11324401034169
Aliabad,36.30598059976728,74.6166723
Ali Housing Colony,31.40741070581522,73.02086193026861
Alipur,29.381801799798374,70.9097965
Ali Pur Chatha,32.268827299599685,73.81900689999999
Allam Iqbal Town Muzafargarh,30.07122299973342,71.1228115
AL Najaf Colony,31.403801950948303,73.11975975764712
Alpurai,34.9204317996464,72.6325567
Al Qadar Gardens,31.465817798410654,73.1688433606387
AL Qamar Garden,31.459612320664288,73.15557756796163
Amangarh,28.38211669990389,70.3627251
Ambiri Kala,33.052679699587486,71.01794
Amin Town,31.44192698923191,73.12404310551432
Astore,35.35661519967788,74.85698039999998
Atharan Hazari,31.16617809965042,72.09721489999998
Athmuqam,34.5864579996267,73.9119618
Awan Town,33.62391599959219,72.98898949999999
Awan Wala,31.361501287359097,73.14549272096544
Azadi Town,34.30539120956353,73.87154712828959
Badaber,33.922339999599316,71.5575613
Badah,27.333247000020865,68.0135023
Baddomalhi,31.989328999609004,74.66484699999998
Badrashi,33.99482099960155,72.0125009
Bagh,33.981359399601125,73.77329199999998
Baghdada,34.22933749961002,72.0159365
Bahadar Wala,31.656206499623323,71.3057147
Bahawal Khan,29.762925199761476,66.4296036
Bahria Town,31.38135919963768,74.18634709999999
Bahria Town,33.55021729959093,73.1239422
Bahria Town,25.047841200253885,67.319019
Baja,34.10135169960513,72.541625
Bajwa Chak 120 JB,31.478959527771067,73.081733506017
Bakar Mandi,31.417316638216352,73.04205981075103
Bakhshali,34.28472199961231,72.15
Balakot,34.55067379962484,73.35257340000001
Balakot,34.51669039730977,73.3540004538447
Baldia,24.91877860026485,66.9613949
Balouch Azad Kashmir,33.64592259959261,73.81582729999998
Bam Khel,34.09934199960508,72.53063239999999
Bandhi,26.58690980010289,68.2992648
Bara,33.917990199599195,71.4647276
Barhing,32.92410439958803,74.0751986
Barikot,34.67800279963173,72.2237662
Barkat Pura,31.385538720763126,73.08799304003723
Barkhan,29.900312499748754,69.5230398
"Barnala, Azad Kashmir",32.869770099588436,74.2474449
Basirpur,30.579526999691378,73.8382261
Basti Maluk,29.854174999752992,71.5374219
Batakundi,34.930583399647055,73.77746029999999
Batapur,31.593661899626397,74.4731599
Bathkela,34.61596029962829,71.97224719999998
Battagram,34.219399599609616,71.6260552
Battagram,34.678555499631756,73.02811880000002
Begampura,31.580777199627043,74.3616766
Beganwala,32.21339319960131,71.44543569999999
Bela,26.226778300140978,66.3112626
Besham,34.92924869964698,72.8790291
Bewal,33.33793429958838,73.44738929999998
Bhadanah,33.28942199958802,73.35854409999999
Bhag,29.042728199832975,67.82362329999998
Bhaiwala,31.47178104773495,73.12541207793105
Bhalakhar,33.46006059958965,73.4204453
Bhan,26.556491300106156,67.7216676
Bhawana,31.568238799627686,72.6462988
Bhera,32.48200089959429,72.91105240000002
Bhiki,31.62490099962485,73.915844
Bhimber,32.97396889958777,74.0736385
Bhiria,26.910336200067732,68.19487449999998
Bhit Shah,25.804172800183814,68.4941635
Bhoman Shah,30.53135559969513,73.65476259999998
Bhopalwala,32.4282826995955,74.3602484
Bhura Hayal,33.5150326995904,73.3909252
Blue Area,33.722053099594184,73.0787936
Bodla town,30.44904550108098,72.35256938974133
Booni,36.27006029976342,72.2625054
Bostan,30.426310799703458,67.01285049999998
Bucheki,31.3075358996419,73.66165749999999
Bukhtiarabad Domki,28.990970999838385,68.01199799999999
Buleda,26.309887900132303,63.15451730000001
Bunga Hayat,30.496469299697864,73.5181584
Burhan,33.81417099959637,72.58814509999999
Canal Colony,32.116467399604446,71.45581959999998
Cantonment,31.52210049963006,74.3790353
Cantonment,33.99859799960167,71.533832
CDA Colony,33.64204215406563,73.04203217156332
Chacharan Sharif,28.872140599850894,70.4567931
Chachro,25.11614330024796,70.25175679999998
Chah Sultan,33.624450999592206,73.0724306
Chak,27.858800799962022,68.83320589999998
Chak 11/8.R,30.463488899700483,72.07231679999998
Chak 11B/8.R,30.491551399698253,72.0977467
Chak 12/8.R,30.458194199700905,72.0800751
Chak 17EB,30.30663693293323,73.11470949957895
CHAK 209/9-R,29.292719292669062,72.96042821068824
Chak 226 RB,31.362685863052498,73.13174105679965
chak 56/8R,30.47491229969957,72.2296335
Chak 66 Dhandran,31.391472087521354,72.97039277878477
Chakdara,34.65571059963048,72.03080929999999
Chak Jhumra,31.570665799627562,73.1838035
Chaklala Cantonment,33.60820779959191,73.09067739999999
Chak No.07 JB Panjwar,31.481684978725095,73.06730636613582
Chak No.100 JB,31.44964057720815,73.02063281374592
Chakswari,33.26587119958787,73.7840143
Chan Da Qila,32.09312599960524,74.2020847
Changlani,27.925347517915128,69.33927115725707
Char Bagh,34.83437799964096,72.44048
Charhoi Azad Kashmir,33.30291729958812,73.9565793
Chattar Plain,34.61518639962825,73.1183728
Chawinda,32.34506619959757,74.70521219999999
